Name,depth,IC
CPT-A0,-2.5633,2.9295229749518112
CPT-A0,-2.5833,2.93399252248098
CPT-A0,-2.6033,2.9511600289877435
CPT-A0,-2.6233,2.9819270107710163
CPT-A0,-2.6433,2.9991425012143558
CPT-A0,-2.6633,2.98019079707867
CPT-A0,-2.6833,2.9728395333571718
CPT-A0,-2.7033,2.9692797364485743
CPT-A0,-2.7233,2.9682494240588553
CPT-A0,-2.7433,2.9630767394429927
CPT-A0,-2.7633,2.9720208515280624
CPT-A0,-2.7833,2.9982066344718685
CPT-A0,-2.8033,3.0063673694339523
CPT-A0,-2.8232999999999997,3.000413477201005
CPT-A0,-2.8432999999999997,2.99383980070174
CPT-A0,-2.8632999999999997,2.999061334023836
CPT-A0,-2.8832999999999998,3.015373482699488
CPT-A0,-2.9032999999999998,3.031296274308787
CPT-A0,-2.9233,3.0426363004096646
CPT-A0,-2.9433,3.0534525093529976
CPT-A0,-2.9633,3.0657851249161103
CPT-A0,-2.9833,3.0690555486448976
CPT-A0,-3.0033,3.065039757336496
CPT-A0,-3.0233,3.0589345173686735
CPT-A0,-3.0433,3.0674726145944753
CPT-A0,-3.0633,3.0907894337848605
CPT-A0,-3.0833,3.1258278245421014
CPT-A0,-3.1033,3.1472363273118122
CPT-A0,-3.1233,3.159883438124199
CPT-A0,-3.1433,3.1616941106386927
CPT-A0,-3.1633,3.1739863049379338
CPT-A0,-3.1833,3.190226633854592
CPT-A0,-3.2033,3.200217069810999
CPT-A0,-3.2233,3.2039742797825124
CPT-A0,-3.2433,3.211321044639791
CPT-A0,-3.2633,3.2020454281317123
CPT-A0,-3.2833,3.216844588524074
CPT-A0,-3.3033,3.2181947916923073
CPT-A0,-3.3232999999999997,3.2144726031356603
CPT-A0,-3.3432999999999997,3.223737005558187
CPT-A0,-3.3632999999999997,3.227248197862702
CPT-A0,-3.3832999999999998,3.2421574237372894
CPT-A0,-3.4032999999999998,3.271708658620638
CPT-A0,-3.4233,3.2909290444738986
CPT-A0,-3.4433,3.308457839570551
CPT-A0,-3.4633,3.3107782510003343
CPT-A0,-3.4833,3.328523102165776
CPT-A0,-3.5033,3.34532533605367
CPT-A0,-3.5233,3.3610314382974575
CPT-A0,-3.5433,3.385370801356232
CPT-A0,-3.5633,3.3929440220942304
CPT-A0,-3.5833,3.3985500312400956
CPT-A0,-3.6033,3.4107207695364807
CPT-A0,-3.6233,3.425106514591553
CPT-A0,-3.6433,3.4397265185288877
CPT-A0,-3.6633,3.4375611719035044
CPT-A0,-3.6833,3.452366933638309
CPT-A0,-3.7033,3.461294652096083
CPT-A0,-3.7233,3.4790972343196973
CPT-A0,-3.7433,3.5139476857483425
CPT-A0,-3.7633,3.523265670789056
CPT-A0,-3.7833,3.504648547923814
CPT-A0,-3.8033,3.506690721433136
CPT-A0,-3.8232999999999997,3.516855205980625
CPT-A0,-3.8432999999999997,3.5550168978936565
CPT-A0,-3.8632999999999997,3.58987103689949
CPT-A0,-3.8832999999999998,3.6236585775075185
CPT-A0,-3.9032999999999998,3.625694807185741
CPT-A0,-3.9233,3.5811918640613567
CPT-A0,-3.9433,3.5638049814868347
CPT-A0,-3.9633,3.56856395616333
CPT-A0,-3.9833,3.5873028150777166
CPT-A0,-4.0033,3.6036309278416487
CPT-A0,-4.0233,3.632319048089179
CPT-A0,-4.0433,3.624951820518869
CPT-A0,-4.0633,3.6239585780197756
CPT-A0,-4.0833,3.6199553039065226
CPT-A0,-4.1033,3.6190061581851785
CPT-A0,-4.1233,3.618088344890801
CPT-A0,-4.1433,3.6063015390488653
CPT-A0,-4.1633000000000004,3.5695356695253855
CPT-A0,-4.1833,3.497392942073919
CPT-A0,-4.2033000000000005,3.474601543824439
CPT-A0,-4.2233,3.528856506584026
CPT-A0,-4.2433000000000005,3.565964708209706
CPT-A0,-4.2633,3.562800674010808
CPT-A0,-4.2833000000000006,3.5571360013489546
CPT-A0,-4.3033,3.5246106186502324
CPT-A0,-4.3233,3.4637560804346066
CPT-A0,-4.3433,3.461339395756088
CPT-A0,-4.3633,3.4903012313740036
CPT-A0,-4.3833,3.6003756642627436
CPT-A0,-4.4033,3.6328010394123913
CPT-A0,-4.4233,3.6230495818453274
CPT-A0,-4.4433,3.6309212918814793
CPT-A0,-4.4633,3.624154088499202
CPT-A0,-4.4833,3.600512546803013
CPT-A0,-4.503299999999999,3.591430270618783
CPT-A0,-4.5233,3.5989214624630375
CPT-A0,-4.5432999999999995,3.5817860159010477
CPT-A0,-4.5633,3.5963338195843284
CPT-A0,-4.5832999999999995,3.603642710466148
CPT-A0,-4.6033,3.608284096712597
CPT-A0,-4.6232999999999995,3.627458700401383
CPT-A0,-4.6433,3.618494765735348
CPT-A0,-4.6633,3.5966410663439885
CPT-A0,-4.6833,3.527257145637721
CPT-A0,-4.7033,3.4620917569217062
CPT-A0,-4.7233,3.506648853545944
CPT-A0,-4.7433,3.5595538431837803
CPT-A0,-4.7633,3.60528305902186
CPT-A0,-4.7833,3.6327487240106024
CPT-A0,-4.8033,3.6639249003893655
CPT-A0,-4.8233,3.6365533506856242
CPT-A0,-4.8433,3.5994204119619733
CPT-A0,-4.8633,3.5529054061410235
CPT-A0,-4.8833,3.551198591061522
CPT-A0,-4.9033,3.5495117140599133
CPT-A0,-4.9233,3.5528095608724652
CPT-A0,-4.9433,3.5471749631186626
CPT-A0,-4.9633,3.535020725322464
CPT-A0,-4.9833,3.5270224485581654
CPT-A0,-5.0033,3.52555640975524
CPT-A0,-5.0233,3.5313902254445306
CPT-A0,-5.0433,3.5420067595211466
CPT-A0,-5.0633,3.5470973862046917
CPT-A0,-5.0832999999999995,3.5483652824333913
CPT-A0,-5.1033,3.552532913219316
CPT-A0,-5.1232999999999995,3.553797550072742
CPT-A0,-5.1433,3.554087224042248
CPT-A0,-5.1633,3.545775398482381
CPT-A0,-5.1833,3.545141079901355
CPT-A0,-5.2033,3.5417241586578068
CPT-A0,-5.2233,3.529365546530367
CPT-A0,-5.2433,3.5209679074296236
CPT-A0,-5.2633,3.5128359577527024
CPT-A0,-5.2833,3.5090514518057696
CPT-A0,-5.3033,3.5077810760398638
CPT-A0,-5.3233,3.5081537949905206
CPT-A0,-5.3433,3.5068972691952123
CPT-A0,-5.3633,3.523902167769525
CPT-A0,-5.3833,3.5536866586209053
CPT-A0,-5.4033,3.589439266441577
CPT-A0,-5.4233,3.6247369248406724
CPT-A0,-5.4433,3.653830834568599
CPT-A0,-5.4633,3.6800693061902288
CPT-A0,-5.4833,3.7010811702918813
CPT-A0,-5.5033,3.703870746613408
CPT-A0,-5.5233,3.6846263322957484
CPT-A0,-5.5433,3.6820347980595436
CPT-A0,-5.5633,3.6759867762731924
CPT-A0,-5.5832999999999995,3.670011721336354
CPT-A0,-5.6033,3.66162015095095
CPT-A0,-5.6232999999999995,3.670712390478111
CPT-A0,-5.6433,3.71939498978142
CPT-A0,-5.6633,3.7403829153488815
CPT-A0,-5.6833,3.7409094616484664
CPT-A0,-5.7033,3.7454479105596588
CPT-A0,-5.7233,3.7312289810497807
CPT-A0,-5.7433,3.724365732470901
CPT-A0,-5.7633,3.701072153583785
CPT-A0,-5.7833,3.6632469466206294
CPT-A0,-5.8033,3.625407856818761
CPT-A0,-5.8233,3.6128962957951702
CPT-A0,-5.8433,3.5872354385345178
CPT-A0,-5.8633,3.5798774666082633
CPT-A0,-5.8833,3.5674854459098815
CPT-A0,-5.9033,3.570363802907642
CPT-A0,-5.9233,3.58857160926723
CPT-A0,-5.9433,3.591559355305373
CPT-A0,-5.9633,3.603251107547396
CPT-A0,-5.9833,3.607575537122201
CPT-A0,-6.0033,3.5952738999226166
CPT-A0,-6.0233,3.587136711095102
CPT-A0,-6.0433,3.586489719540851
CPT-A0,-6.0633,3.5982692542862105
CPT-A0,-6.0832999999999995,3.587672893699032
CPT-A0,-6.1033,3.5669688403634447
CPT-A0,-6.1232999999999995,3.6014349454331684
CPT-A0,-6.1433,3.637849368394732
CPT-A0,-6.1633,3.6291028938530934
CPT-A0,-6.1833,3.607974239181157
CPT-A0,-6.2033,3.596269087026466
CPT-A0,-6.2233,3.600901386501517
CPT-A0,-6.2433,3.6122995279465777
CPT-A0,-6.2633,3.6142523215084257
CPT-A0,-6.2833,3.565637160119839
CPT-A0,-6.3033,3.417685886290926
CPT-A0,-6.3233,3.2503583613592646
CPT-A0,-6.3433,3.2020501799207906
CPT-A0,-6.3633,3.2833460693598773
CPT-A0,-6.3833,3.4344017211355844
CPT-A0,-6.4033,3.556960177191955
