depth,B0,B12,A0,A1,A2,A3,B9,B13,A4,A5,A6,A7,A8,A9,B21,B3,B5,A10,A11,A12,A13,A14,A15,B1,B4,A16,A17,A18,A19,B2,B6,A20,B14,B15,B16,B17,B18,B19,B20,B22,A21,A22,A23,A24,B10,B7,A25,A26,B11,B8,A27,A28,A29,B23
11.0,2.36942457166525,2.5345573342786225,2.391122197808927,3.5577214993238013,2.8128012362432653,3.0528378961259808,2.2352847358610886,2.279060197113455,2.151354883231968,2.1755378848443705,2.7507118288129897,2.788641872428335,2.816142027140699,3.579828810635962,2.986707773129686,3.50239589835836,3.2365038136368924,3.631961150335058,3.3369658216109035,3.7654321831234006,3.6764175874447322,3.817792449548853,2.4112095996668677,3.080797498498157,3.0161033573055267,3.6742965533686642,3.6744510859542583,3.738369017052829,3.0690829503107064,3.8632118747565767,3.6000553742775727,3.672734381725801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6208805565579203,3.6455668652236515,3.505946832473261,3.573905457804326,3.620770743032895,3.625131289450708,3.7574253681526697,3.2261395548896443,3.628648630974654,2.8697894714402006,3.089105085877962,2.08950924057014,3.67854484529753,3.550799455463726,3.474355890231117
12.0,2.852397750542848,2.88950653105646,3.2012739782321344,3.6174680492928077,3.190191831154917,2.916166112180841,2.9210382183313,3.0540352836230786,2.762934522534582,2.362895690784294,1.99022597694454,2.484772080102795,2.8287044224321627,3.3407367828873693,2.7503165266568232,2.615808601237141,3.6176180061399035,3.5722710582467903,3.4647821561151124,3.7065028524028736,3.634055129549923,3.857141520761032,2.481312452913526,3.42078224811172,3.387285823841309,3.7821208578741072,3.6672103504753157,3.6836819729947505,3.5413014042344675,3.8012915137404266,3.5814426048426418,3.6155239024506414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6241286278650984,3.7041757146878367,2.410293451078842,3.6122978728573987,3.645105054933174,3.689417039656385,3.8037108818364804,2.4296261450368335,3.610769005168717,2.114651437064228,2.2768168338029953,2.0197815998494746,3.7235341975309733,3.0950711359679843,3.185875224788886
13.0,3.360958416888773,3.4208126658782114,3.420728792070902,3.5819132181054485,3.3341870369057927,3.5049198073593275,3.2279425487558013,2.8514589227395235,4.063796880232237,2.9965478359623052,2.633384528427417,2.7691140839764725,2.6791622521754164,3.3120536044427245,2.17025917743501,2.2526182068180405,2.70651886642618,2.366080232069948,3.3129525456043183,3.802673554244954,3.7280114940986975,3.6957999257152374,2.853290186457012,3.3164364260885635,3.435739276190386,2.6882475966954904,3.2485642911244725,3.784533148905438,2.7174486002406693,0.0,0.0,3.66727822070156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.773428266424397,1.9561452171699358,2.900627023646798,3.7204931147943827,0.0,0.0,3.07488426579747,3.4260241613436833,0.0,0.0,2.1458935868109195,3.7800825355779044,2.21073786487881,3.0077852556196034
14.0,0.0,0.0,3.73096765616406,3.6841768979785794,3.759434110642205,3.660694391730957,0.0,0.0,3.5835932202833685,3.701149378897806,3.8847382478110117,2.918290144984327,3.191377160999238,3.4143186879458023,3.3995555386550196,0.0,0.0,3.5093817737338986,3.249808189270475,3.785140280527365,3.3386905392877027,3.715756747897099,2.532028858775861,0.0,0.0,2.8315258709377917,2.0873573887091084,2.407184912616709,2.2860331547164074,0.0,0.0,3.811295102241686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.808897361073594,1.9603104685943198,2.4068083072319553,3.099581724393918,0.0,0.0,3.662099785562702,3.2037565813445616,0.0,0.0,2.1439057040928473,3.720439175017229,2.0895114277946547,3.1537208959655216
15.0,0.0,0.0,3.6455186494033422,3.4497407213901603,3.640756427858407,3.660497021538332,0.0,0.0,3.8022096041988407,3.612659543837522,3.8528019705898684,3.6276112659726847,3.87411681781858,3.745310611447022,1.9779304523195587,0.0,0.0,3.3970581740137513,3.4519655808852066,2.328173468494817,3.693375632153713,3.7815326931216435,2.99338116428148,0.0,0.0,2.939387522157227,2.1084321334278844,2.166760596066182,2.3203155761023897,0.0,0.0,2.7816941678862976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.419749845691912,2.076158716053578,2.480846693639487,2.0928172354544676,0.0,0.0,2.864904923870037,1.9871685132223735,0.0,0.0,2.032266480225621,2.3925048414694405,2.0648639569481992,3.0041376163891855
16.0,0.0,0.0,2.822932454359046,2.110257396673448,3.919914874492009,2.1987207594366343,0.0,0.0,2.0967938467784073,1.8105245616489183,2.158336975527898,1.8682895806876272,2.131540957943138,1.9933067435070433,0.0,0.0,0.0,2.099824234727949,3.463864840948697,1.919052471402425,3.8737567155307833,2.734199268396192,2.8186349851591475,0.0,0.0,2.5157233643830783,2.1710280262725283,2.2436800714138423,2.811216409857169,0.0,0.0,2.146624369950724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1916273927701235,2.2477340496921343,2.4173903224385436,2.1577439524287003,0.0,0.0,2.5056867512720875,2.0756656497364103,0.0,0.0,2.1369873244118343,2.246048494614574,2.078036627321437,2.106123539447345
17.0,0.0,0.0,1.8634675553584403,1.733448755188295,2.343741659264279,1.9281795154947652,0.0,0.0,1.8745620919291732,1.7944878933591062,1.98374626863115,1.6573431863188737,1.9376237827026188,1.764384910022139,0.0,0.0,0.0,1.9150879179211089,3.127769170333012,2.1664216251684985,3.7630770272374465,3.047192364460013,2.041173982788347,0.0,0.0,2.4268595021665686,2.342517073902445,2.165875757750718,2.7983910560894847,0.0,0.0,2.172696823074567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.383640595190027,2.2557883314396885,2.3064742504812057,2.165306340435903,0.0,0.0,2.510007082074227,2.025032944686076,0.0,0.0,2.131708196106247,2.1775041142386917,2.030183524127127,1.859942088858639
18.0,0.0,0.0,1.9667388357010789,1.909848750728433,2.177881913338699,1.7138506522125319,0.0,0.0,1.836266856815606,1.8210195579191917,1.8131500338851483,1.8050914822310484,1.926360478867137,1.816962582202156,0.0,0.0,0.0,1.8629974506007283,2.358968703823526,2.1494816080898005,2.5525520040114267,2.7707293524746905,2.3484774093581082,0.0,0.0,2.433679468565498,2.2554630738086203,2.1923855484010666,2.243796790111258,0.0,0.0,2.2525526585609152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4675056978458296,2.2252265202011876,2.1612281794641253,2.270512937427524,0.0,0.0,2.69904737593029,2.1029395095428174,0.0,0.0,2.1289555073679867,2.219992693793724,1.9939780622994552,2.1243527080745572
19.0,0.0,0.0,2.1469774017953474,2.160843278000618,2.0850939073952137,1.9020910808850957,0.0,0.0,1.8914995291194914,1.9396427967160679,1.8597618877345619,1.8202050586730296,2.099638004799145,1.8849283235930467,0.0,0.0,0.0,1.9344319828100172,1.8986970014856481,2.130586896840274,2.292734985178514,2.2049425372075113,2.3238712957669114,0.0,0.0,2.3319626768275383,2.097969876099847,2.390010686126697,2.309584153308446,0.0,0.0,2.27188389154996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2617411921643655,2.306509778974866,2.226995883535461,2.2471296158611267,0.0,0.0,2.164148987423282,2.095605242990397,0.0,0.0,2.199407180803326,2.3902828142003467,2.313579637571864,2.051428516797102
20.0,0.0,0.0,2.1606351835091773,2.2090926563383833,1.7577764594313756,1.963144596218219,0.0,0.0,1.866601534902702,1.9746581430180878,2.0307837812766807,2.108536598219693,2.0976672585379186,2.0554123377926445,0.0,0.0,0.0,2.1283102063824093,2.0375792554186187,2.1245780155451106,2.3146021903395737,2.002723634273336,2.409691435881919,0.0,0.0,2.2620141463823042,2.249522401427846,2.3290003066926395,2.252250119420489,0.0,0.0,2.1965107429169732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271961593266878,2.2836429110765826,2.221621337301672,2.3333753952241287,0.0,0.0,2.628908582932358,2.26251188904073,0.0,0.0,2.2251491863499537,2.006330343072341,2.5375130184707064,1.9500835885265089
