depth,B0,B12,A0,A1,A2,A3,B9,B13,A4,A5,A6,A7,A8,A9,B21,B3,B5,A10,A11,A12,A13,A14,A15,B1,B4,A16,A17,A18,A19,B2,B6,A20,B14,B15,B16,B17,B18,B19,B20,B22,A21,A22,A23,A24,B10,B7,A25,A26,B11,B8,A27,A28,A29,B23
10.0,1.9776785714285714,2.2917857142857145,2.217142857142857,3.235357142857143,2.6844642857142857,3.061071428571428,1.9674999999999998,1.9437499999999999,2.254107142857143,2.5948214285714286,3.40875,3.325357142857143,3.3194642857142855,2.910892857142857,2.9255357142857146,3.0519642857142855,2.6792857142857143,3.1933928571428574,3.2837500000000004,3.7232142857142856,3.6333928571428573,3.7342857142857144,2.634464285714286,2.8539285714285714,2.8642857142857143,3.5812500000000003,3.7026785714285713,3.7289285714285714,2.7348214285714287,3.8498214285714285,3.552857142857143,3.6541071428571428,0.0,0.0,0.0,0.0,2.7276785714285716,0.0,2.669642857142857,3.569107142857143,3.6664285714285714,3.4533928571428567,3.6471428571428572,3.645,3.604642857142857,3.8164285714285713,3.536607142857143,3.6041071428571425,2.713392857142857,2.731964285714286,2.8392857142857144,3.7323214285714283,3.6089285714285713,3.476607142857143
11.0,2.3880701754385965,2.560175438596491,2.402456140350877,3.558947368421053,2.8557894736842107,3.062982456140351,2.2428070175438597,2.2849122807017546,2.1691228070175437,2.1801754385964913,2.7892982456140354,2.8266666666666667,2.845438596491228,3.5935087719298244,2.9926315789473685,3.504385964912281,3.252456140350877,3.632982456140351,3.345789473684211,3.765614035087719,3.6764912280701756,3.8178947368421055,2.4119298245614034,3.0868421052631576,3.035438596491228,3.674736842105263,3.674561403508772,3.738421052631579,3.092280701754386,3.8633333333333333,3.6001754385964913,3.6728070175438594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6210526315789475,3.6456140350877195,3.506315789473684,3.5749122807017546,3.6219298245614033,3.625614035087719,3.757543859649123,3.245614035087719,3.6287719298245613,2.9180701754385967,3.1245614035087717,2.0966666666666667,3.6785964912280704,3.550877192982456,3.4747368421052633
12.0,2.8555357142857143,2.8921428571428573,3.204285714285714,3.6182142857142856,3.203928571428571,2.9232142857142853,2.981964285714286,3.0946428571428575,2.7898214285714285,2.3771428571428572,1.9910714285714286,2.4910714285714284,2.85125,3.342321428571428,2.788392857142857,2.6789285714285715,3.619642857142857,3.5828571428571427,3.468392857142857,3.7080357142857143,3.6342857142857143,3.8580357142857147,2.48375,3.420892857142857,3.3903571428571433,3.783035714285714,3.6683928571428575,3.6839285714285714,3.5417857142857145,3.8019642857142855,3.581785714285714,3.6173214285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,3.705357142857143,2.4841071428571424,3.6128571428571425,3.6475,3.6905357142857143,3.8064285714285715,2.4426785714285715,3.613571428571429,2.1223214285714285,2.312142857142857,2.0223214285714284,3.724107142857143,3.125178571428571,3.200714285714286
13.0,3.3712280701754387,3.4289473684210523,3.4278947368421053,3.5842105263157897,3.3610526315789477,3.5163157894736843,3.3542105263157893,2.984385964912281,4.066491228070175,3.0649122807017544,2.7031578947368424,2.7912280701754386,2.694561403508772,3.316842105263158,2.1728070175438594,2.2726315789473683,2.7663157894736843,2.3754385964912283,3.3171929824561404,3.8038596491228067,3.728421052631579,3.715263157894737,2.8780701754385967,3.325964912280702,3.4357894736842107,2.7487719298245614,3.292456140350877,3.7850877192982457,2.7985964912280705,0.606140350877193,0.7592982456140351,3.668421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4498245614035088,3.7735087719298246,1.9580701754385965,2.979824561403509,3.72140350877193,1.8878947368421053,2.0096491228070175,3.1287719298245613,3.433333333333333,1.3436842105263158,1.3735087719298247,2.146842105263158,3.7805263157894737,2.2117543859649125,3.030877192982456
14.0,0.19249999999999998,2.269285714285714,3.7312499999999997,3.684285714285714,3.759642857142857,3.6607142857142856,0.9033928571428572,0.7401785714285715,3.6107142857142853,3.7030357142857144,3.8873214285714286,2.9862499999999996,3.2898214285714285,3.4257142857142857,3.425535714285714,1.5233928571428572,1.8198214285714285,3.536785714285714,3.2591071428571428,3.787857142857143,3.361964285714286,3.7346428571428567,2.5396428571428573,1.2710714285714286,1.0344642857142856,2.906607142857143,2.0894642857142856,2.4346428571428573,2.2905357142857143,0.0,0.0,3.8117857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8098214285714285,1.9616071428571427,2.411964285714286,3.1685714285714286,0.0,0.0,3.6625,3.270178571428571,0.0,0.0,2.1455357142857143,3.721964285714286,2.0908928571428573,3.1792857142857143
15.0,0.0,0.0,3.6475,3.466964285714286,3.641428571428571,3.6621428571428574,0.0,0.0,3.8185714285714285,3.653035714285714,3.868392857142857,3.648214285714286,3.893214285714286,3.7526785714285715,2.0342857142857143,0.0,0.0,3.4396428571428572,3.4549999999999996,2.4055357142857146,3.700892857142857,3.78375,3.0489285714285717,0.0,0.0,2.97125,2.1092857142857144,2.167857142857143,2.3208928571428573,0.0,0.0,2.8887500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4494642857142854,2.087142857142857,2.4882142857142857,2.0935714285714284,0.0,0.0,2.9891071428571427,1.9876785714285714,0.0,0.0,2.0332142857142856,2.426428571428571,2.0653571428571427,3.082678571428571
16.0,0.0,0.0,2.917894736842105,2.122280701754386,3.9228070175438594,2.26719298245614,0.0,0.0,2.1666666666666665,1.8117543859649121,2.163859649122807,1.892280701754386,2.132456140350877,2.0143859649122806,0.4201754385964912,0.0,0.0,2.1007017543859647,3.4875438596491226,1.9203508771929823,3.8742105263157898,2.7664912280701754,2.85140350877193,0.0,0.0,2.5159649122807015,2.1717543859649124,2.2475438596491224,2.835614035087719,0.0,0.0,2.1473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21140350877193,2.247894736842105,2.4192982456140353,2.1580701754385965,0.0,0.0,2.525087719298246,2.0789473684210527,0.0,0.0,2.1385964912280704,2.254035087719298,2.0782456140350876,2.1140350877192984
17.0,0.0,0.0,1.8635714285714287,1.7335714285714285,2.3857142857142857,1.9287500000000002,0.0,0.0,1.8751785714285716,1.7948214285714286,1.9842857142857142,1.6589285714285715,1.9425000000000001,1.7651785714285713,0.0,0.0,0.0,1.922857142857143,3.145178571428571,2.168214285714286,3.764642857142857,3.0744642857142854,2.0425,0.0,0.0,2.4269642857142855,2.3537500000000002,2.1671428571428573,2.814285714285714,0.0,0.0,2.1732142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3903571428571433,2.2560714285714285,2.3096428571428573,2.165714285714286,0.0,0.0,2.5176785714285717,2.0283928571428573,0.0,0.0,2.132857142857143,2.17875,2.0307142857142857,1.8626785714285714
18.0,0.0,0.0,1.9691228070175437,1.915438596491228,2.180877192982456,1.7159649122807017,0.0,0.0,1.8378947368421052,1.823859649122807,1.8147368421052632,1.8078947368421052,1.9294736842105265,1.8182456140350878,0.0,0.0,0.0,1.8659649122807018,2.376140350877193,2.155438596491228,2.5826315789473684,2.822982456140351,2.3649122807017546,0.0,0.0,2.433859649122807,2.257017543859649,2.1933333333333334,2.2443859649122806,0.0,0.0,2.2531578947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.486666666666667,2.2263157894736842,2.1635087719298243,2.272280701754386,0.0,0.0,2.7203508771929825,2.103859649122807,0.0,0.0,2.1314035087719296,2.2228070175438597,1.9956140350877194,2.1298245614035087
19.0,0.0,0.0,2.1475,2.1623214285714285,2.0855357142857143,1.9032142857142857,0.0,0.0,1.895,1.9498214285714286,1.8616071428571428,1.8230357142857143,2.1010714285714287,1.8901785714285713,0.0,0.0,0.0,1.9371428571428573,1.9096428571428572,2.132142857142857,2.2935714285714286,2.207142857142857,2.3285714285714287,0.0,0.0,2.332678571428571,2.0989285714285715,2.391428571428571,2.3103571428571428,0.0,0.0,2.2728571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261964285714286,2.3085714285714287,2.231607142857143,2.2480357142857144,0.0,0.0,2.165714285714286,2.099642857142857,0.0,0.0,2.200892857142857,2.3989285714285713,2.3464285714285715,2.0619642857142857
